Abilene,Texas,120958,106.80,32.4545,-99.7381,29,-1,64.5
Akron,Ohio,197859,62.00,41.0805,-81.5214,44,-1,49.7
Albuquerque,New Mexico,557169,187.70,35.1056,-106.6474,40,30,56.2
Alexandria,Virginia,150575,15.00,38.8183,-77.0820,61,55,57.9
Allentown,Pennsylvania,119104,17.50,40.5940,-75.4782,65,34,51.2
Amarillo,Texas,197254,99.50,35.1978,-101.8287,36,-1,56.9
Anaheim,California,346997,49.80,33.8555,-117.7601,51,35,67.1
Anchorage,Alaska,301010,1704.70,61.2176,-149.8953,32,22,35.9
Ann Arbor,Michigan,117770,27.80,42.2756,-83.7313,49,47,48.8
Antioch,California,108930,28.30,37.9775,-121.7976,36,-1,60.7
Arlington,Texas,383204,95.90,32.7007,-97.1247,35,-1,66.2
Arvada,Colorado,113574,35.10,39.8097,-105.1066,36,29,50.3
Athens,Georgia,119648,116.40,33.9496,-83.3701,25,-1,61.7
Atlanta,Georgia,456002,133.20,33.7629,-84.4227,46,44,61.3
Augusta,Georgia,196741,302.50,33.3655,-82.0734,20,-1,63.2
Aurora,Colorado,353108,154.10,39.7082,-104.8235,38,35,50.5
Aurora,Illinois,200456,44.90,41.7635,-88.2901,37,22,49.1
Austin,Texas,912791,322.48,30.3072,-97.7560,35,34,68.6
Bakersfield,California,368759,142.20,35.3212,-119.0183,34,30,65.4
Baltimore,Maryland,622793,80.90,39.3002,-76.6105,66,58,55.1
Baton Rouge,Louisiana,228895,76.90,30.4485,-91.1259,37,-1,67.7
Beaumont,Texas,117585,82.80,30.0843,-94.1458,31,-1,68.3
Bellevue,Washington,136426,32.00,47.5978,-122.1565,38,38,53.2
Berkeley,California,118853,10.50,37.8667,-122.2991,79,56,57.1
Billings,Montana,108869,43.40,45.7895,-108.5499,33,-1,47.1
Birmingham,Alabama,212247,146.10,33.5274,-86.7990,33,25,61.8
Boise,Idaho,216282,79.40,43.5985,-116.2311,37,-1,50.9
Boston,Massachusetts,655884,48.30,42.3320,-71.0202,80,74,51.3
Boulder,Colorado,105112,25.70,40.0175,-105.2797,56,48,51
Bridgeport,Connecticut,147612,16.00,41.1874,-73.1957,65,-1,51.7
Broken Arrow,Oklahoma,104726,61.60,36.0365,-95.7810,18,-1,59.6
Brownsville,Texas,183046,132.30,26.0183,-97.4538,43,-1,74.5
Buffalo,New York,258703,40.40,42.8925,-78.8597,65,50,47.7
Burbank,California,105368,17.30,34.1890,-118.3249,66,-1,64.1
Cambridge,Massachusetts,109694,6.40,42.3760,-71.1183,87,72,49.2
Cape Coral,Florida,169854,105.70,26.6431,-81.9973,15,-1,74
Carlsbad,California,112299,37.70,33.1239,-117.2828,27,23,61.9
Carrollton,Texas,128353,36.30,32.9884,-96.8998,34,-1,70.9
Cary,North Carolina,155227,54.30,35.7821,-78.8141,25,15,60.5
Cedar Rapids,Iowa,129195,70.80,41.9670,-91.6778,32,-1,48.2
Centennial,Colorado,107201,28.70,39.5906,-104.8691,34,-1,50.8
Chandler,Arizona,254276,64.40,33.2829,-111.8549,30,18,71
Charleston,South Carolina,130113,109.00,32.8179,-79.9589,34,-1,55
Charlotte,North Carolina,809958,297.70,35.2087,-80.8307,24,-1,60.1
Chattanooga,Tennessee,173778,137.20,35.0665,-85.2471,27,-1,59.3
Chesapeake,Virginia,233371,340.80,36.6794,-76.3018,21,13,57.7
Chicago,Illinois,2722389,227.60,41.8376,-87.6818,75,65,49
Chula Vista,California,260988,49.60,32.6277,-117.0152,40,36,61
Cincinnati,Ohio,298165,77.90,39.1399,-84.5064,50,43,51.7
Clarksville,Tennessee,146806,97.60,36.5664,-87.3452,16,-1,57.9
Clearwater,Florida,110703,25.60,27.9795,-82.7663,41,29,72.6
Cleveland,Ohio,389521,77.70,41.4781,-81.6795,57,47,49.6
Clovis,California,102189,23.30,36.4931,-119.4211,34,-1,60.3
College Station,Texas,103483,49.60,30.6013,-96.3144,31,-1,69
Colorado Springs,Colorado,445830,194.50,38.8673,-104.7607,33,18,48.5
Columbia,South Carolina,132067,132.20,34.0298,-80.8966,35,-1,63.9
Columbia,Missouri,116906,63.10,38.9479,-92.3261,26,-1,54.6
Columbus,Ohio,835957,217.20,39.9848,-82.9850,40,31,53.4
Columbus,Georgia,200887,216.40,32.5102,-84.8749,24,-1,65.7
Concord,California,127522,30.50,37.9722,-122.0016,43,30,60.6
Coral Springs,Florida,127952,23.80,26.2708,-80.2593,36,-1,75.5
Corona,California,161486,38.80,33.8624,-117.5639,34,18,64.8
Corpus Christi,Texas,320434,160.60,27.7543,-97.1734,36,29,71.6
Costa Mesa,California,112784,15.70,33.6659,-117.9123,60,40,62
Dallas,Texas,1281047,340.50,32.7757,-96.7967,44,39,65.4
Daly City,California,106094,7.70,37.7009,-122.4650,61,-1,58.8
Davenport,Iowa,102448,62.90,41.5541,-90.6040,40,-1,50
Dayton,Ohio,141003,55.70,39.7774,-84.1996,45,-1,52
Denton,Texas,128205,88.00,33.2151,-97.1417,29,-1,65
Denver,Colorado,663862,153.00,39.7618,-104.8806,56,47,50.3
Des Moines,Iowa,209220,80.90,41.5739,-93.6167,42,-1,49.9
Detroit,Michigan,680250,138.80,42.3830,-83.1022,52,38,48.6
Downey,California,114172,12.40,33.9382,-118.1309,54,-1,69.9
Durham,North Carolina,251893,107.40,35.9810,-78.9056,28,27,59
Edison,New Jersey,101970,30.60,40.5040,-74.3494,71,-1,51
El Cajon,California,103091,14.40,32.8017,-116.9605,52,-1,65.1
El Monte,California,116631,9.60,34.0746,-118.0291,56,-1,65.8
El Paso,Texas,679036,255.20,31.8484,-106.4270,39,-1,63.2
Elgin,Illinois,111117,37.20,42.0396,-88.3217,38,29,48.4
Elizabeth,New Jersey,128705,12.30,40.6663,-74.1935,77,43,53
Elk Grove,California,163553,42.20,38.4144,-121.3849,28,-1,62.4
Escondido,California,150243,36.80,33.1336,-117.0732,41,31,62
Eugene,Oregon,160561,43.70,44.0567,-123.1162,41,36,53.3
Evansville,Indiana,120346,44.20,37.9877,-87.5347,42,-1,56.4
Everett,Washington,106736,33.40,48.0033,-122.1742,45,-1,50.6
Fairfield,California,111125,37.40,38.2568,-122.0397,34,-1,60.4
Fargo,North Dakota,115863,48.80,46.8652,-96.8290,41,-1,41
Fayetteville,North Carolina,203948,145.80,35.0851,-78.9803,18,-1,61.6
Fontana,California,204950,42.40,34.1088,-117.4627,32,28,66.4
Fort Collins,Colorado,156480,54.30,40.5482,-105.0648,32,33,50.3
Fort Lauderdale,Florida,176013,34.80,26.1413,-80.1439,54,39,76.1
Fort Wayne,Indiana,258522,110.60,41.0882,-85.1439,28,22,50.5
Fort Worth,Texas,812238,339.80,32.7795,-97.3463,32,20,64.7
Fremont,California,228758,77.50,37.4944,-121.9411,44,36,60.1
Fresno,California,515986,113.20,36.7827,-119.7945,42,30,63.3
Frisco,Texas,145035,61.80,33.1510,-96.8193,20,-1,39.3
Fullerton,California,139677,22.40,33.8857,-117.9280,51,33,11.8
Gainesville,Florida,128460,61.30,29.6788,-82.3459,33,-1,68.9
Garden Grove,California,175078,17.90,33.7788,-117.9605,55,-1,65.6
Garland,Texas,235501,57.10,32.9098,-96.6304,36,29,64.7
Gilbert,Arizona,239277,68.00,33.3102,-111.7422,26,15,68
Glendale,Arizona,237517,60.00,33.5331,-112.1899,33,29,69
Glendale,California,200167,30.50,34.1814,-118.2458,66,39,61.3
Grand Prairie,Texas,185453,72.10,32.6842,-97.0210,29,-1,66.6
Grand Rapids,Michigan,193792,44.40,42.9612,-85.6556,48,-1,47.2
Green Bay,Wisconsin,104891,45.50,44.5207,-87.9842,38,28,43.8
Greensboro,North Carolina,282586,126.50,36.0965,-79.8271,28,-1,57.8
Gresham,Oregon,109892,23.20,45.5023,-122.4416,43,39,53.6
Hampton,Virginia,136879,51.40,37.0480,-76.2971,30,27,60
Hartford,Connecticut,124705,17.40,41.7660,-72.6833,68,-1,49.9
Hayward,California,154612,45.30,37.6281,-122.1063,51,-1,61.2
Henderson,Nevada,277440,107.70,36.0122,-115.0375,28,22,60.8
Hialeah,Florida,235563,21.50,25.8699,-80.3029,65,38,75.6
High Point,North Carolina,108629,53.80,35.9855,-79.9902,24,-1,59.7
Hollywood,Florida,148047,27.40,26.0311,-80.1646,50,33,73
Honolulu,Hawai'i,350399,60.50,21.3259,-157.8453,63,56,77.2
Houston,Texas,2239558,599.60,29.7805,-95.3863,44,37,67.9
Huntington Beach,California,200809,26.70,33.6906,-118.0093,52,33,66.3
Huntsville,Alabama,188226,209.10,34.7843,-86.5390,22,12,60.3
Independence,Missouri,117494,77.60,39.0853,-94.3513,26,-1,54.5
Indianapolis,Indiana,848788,361.40,39.7767,-86.1459,29,24,52.3
Inglewood,California,111905,9.10,33.9561,-118.3443,64,-1,62.8
Irvine,California,248531,66.10,33.6784,-117.7713,44,27,62.4
Irving,Texas,232406,67.00,32.8577,-96.9700,42,31,64.5
Jackson,Mississippi,171155,111.00,32.3158,-90.2128,25,-1,65.2
Jacksonville,Florida,853382,747.00,30.3370,-81.6613,26,-1,68
Jersey City,New Jersey,262146,14.80,40.7114,-74.0648,84,70,52.6
Joliet,Illinois,147928,62.10,41.5181,-88.1584,32,17,49.4
Kansas City,Missouri,470800,315.00,39.1252,-94.5511,32,29,53.6
Kansas City,Kansas,149636,124.80,39.1225,-94.7418,29,22,56.7
Kent,Washington,125560,28.60,47.3853,-122.2169,36,34,51.8
Killeen,Texas,138154,53.60,31.0777,-97.7320,24,-1,66.6
Knoxville,Tennessee,184281,98.50,35.9709,-83.9465,26,-1,57.6
Lafayette,Louisiana,126066,49.20,30.2116,-92.0314,39,-1,69.3
Lakeland,Florida,102346,74.40,28.0411,-81.9589,33,-1,72.6
Lakewood,Colorado,149643,42.90,39.6989,-105.1176,39,38,50
Lancaster,California,161043,94.30,34.6936,-118.1753,25,-1,61.3
Lansing,Michigan,114620,36.00,42.7098,-84.5562,40,-1,46.8
Laredo,Texas,252309,88.90,27.5477,-99.4869,44,-1,74.2
Las Cruces,New Mexico,101408,76.30,32.3197,-106.7653,32,-1,62.5
Las Vegas,Nevada,613599,135.80,36.2277,-115.2640,39,33,67.1
Lewisville,Texas,102889,42.50,33.0383,-97.0061,34,-1,31.4
Lexington,Kentucky,310797,283.60,38.0402,-84.4584,34,25,54.9
Lincoln,Nebraska,272996,89.10,40.8090,-96.6804,40,-1,50.8
Little Rock,Arkansas,197706,119.20,34.7254,-92.3586,31,19,61.8
Long Beach,California,473577,50.30,33.8091,-118.1553,66,-1,64.3
Los Angeles,California,3928864,468.70,34.0194,-118.4108,64,51,63
Louisville,Kentucky,612780,325.20,38.1781,-85.6667,31,28,56.1
Lowell,Massachusetts,109945,13.60,42.6389,-71.3221,62,37,49
Lubbock,Texas,243839,122.40,33.5665,-101.8867,35,21,60.1
Macon,Georgia,153691,255.10,32.5050,-83.3960,30,-1,64.4
Madison,Wisconsin,245691,76.80,43.0878,-89.4301,47,38,45.2
Manchester,New Hampshire,110448,33.10,42.9847,-71.4439,48,-1,46.3
McAllen,Texas,138596,48.30,26.2185,-98.2461,49,-1,75.6
McKinney,Texas,156767,62.20,33.2012,-96.6680,23,-1,61.7
Memphis,Tennessee,656861,315.10,35.1035,-89.9785,33,-1,62.3
Mesa,Arizona,464704,136.50,33.4019,-111.7174,34,25,67
Mesquite,Texas,144416,46.00,32.7639,-96.5924,34,-1,64.1
Miami,Florida,430332,35.90,25.7752,-80.2086,76,59,75.9
Miami Gardens,Florida,112265,18.20,25.9489,-80.2436,40,43,75.9
Midland,Texas,128037,72.10,32.0299,-102.1097,36,-1,64.1
Milwaukee,Wisconsin,599642,96.10,43.0633,-87.9667,59,49,46.1
Minneapolis,Minnesota,407207,54.00,44.9633,-93.2683,65,58,44.9
Miramar,Florida,134989,29.50,25.9770,-80.3358,28,25,76.5
Mobile,Alabama,194675,139.10,30.6684,-88.1002,32,-1,67.5
Modesto,California,209286,36.90,37.6609,-120.9891,44,29,63.7
Montgomery,Alabama,200481,159.60,32.3463,-86.2686,25,-1,64.9
Moreno Valley,California,202976,51.30,33.9233,-117.2057,28,27,64.8
Murfreesboro,Tennessee,120954,55.30,35.8522,-86.4161,23,-1,59
Murrieta,California,108368,33.60,33.5719,-117.1907,25,-1,65.5
Naperville,Illinois,146128,38.80,41.7492,-88.1620,34,16,50.2
Nashville,Tennessee,644014,475.10,36.1718,-86.7850,26,23,59.1
New Haven,Connecticut,130282,18.70,41.3108,-72.9250,65,-1,53.6
New Orleans,Louisiana,384320,169.40,30.0686,-89.9390,56,-1,68.1
New York,New York,8491079,302.60,40.6643,-73.9385,88,84,54.7
Newark,New Jersey,280579,24.20,40.7242,-74.1726,78,65,54.8
Newport News,Virginia,182965,68.70,37.0760,-76.5217,32,26,60
Norfolk,Virginia,245428,54.10,36.9230,-76.2446,44,36,60
Norman,Oklahoma,118040,178.80,35.2406,-97.3453,28,-1,61.2
North Charleston,South Carolina,106749,76.60,32.8853,-80.0169,25,-1,65.7
North Las Vegas,Nevada,230788,101.30,36.2830,-115.0893,30,30,64.5
Norwalk,California,107096,9.70,33.9069,-118.0834,56,-1,65.4
Oakland,California,413775,55.90,37.7699,-122.2256,69,55,59.4
Oceanside,California,174558,41.20,33.2246,-117.3062,34,34,61.9
Odessa,Texas,114597,42.00,31.8804,-102.3434,38,-1,63.9
Oklahoma City,Oklahoma,620602,606.40,35.4671,-97.5137,32,16,60
Olathe,Kansas,133062,59.70,38.8843,-94.8188,26,12,55.2
Omaha,Nebraska,446599,127.10,41.2647,-96.0419,41,-1,50.6
Ontario,California,169089,49.90,34.0395,-117.6088,41,28,65.5
Orange,California,139812,24.80,33.8048,-117.8249,47,33,58.5
Orlando,Florida,262372,102.40,28.4159,-81.2988,39,33,72.3
Overland Park,Kansas,184525,74.80,38.8890,-94.6906,33,16,55.1
Oxnard,California,205437,26.90,34.2023,-119.2046,51,-1,59.4
Palm Bay,Florida,105838,65.70,27.9856,-80.6626,10,-1,73
Palmdale,California,158279,106.00,34.5913,-118.1090,21,-1,62.1
Pasadena,Texas,153887,42.80,29.6583,-95.1505,43,-1,68
Pasadena,California,140881,23.00,34.1606,-118.1396,62,-1,63.9
Paterson,New Jersey,146753,8.40,40.9147,-74.1628,79,48,52.2
Pearland,Texas,103441,47.50,29.5544,-95.2958,16,-1,69.6
Pembroke Pines,Florida,164626,33.10,26.0212,-80.3404,30,-1,75
Peoria,Arizona,166934,174.40,33.7877,-112.3111,24,7,68.1
Peoria,Illinois,115828,48.00,40.7523,-89.6171,37,-1,50.7
Philadelphia,Pennsylvania,1560297,134.10,40.0094,-75.1333,77,67,54.3
Phoenix,Arizona,1537058,516.70,33.5722,-112.0880,38,32,72.6
Pittsburgh,Pennsylvania,305412,55.40,40.4398,-79.9766,60,54,50.3
Plano,Texas,278480,71.60,33.0508,-96.7479,36,17,64.9
Pomona,California,153350,23.00,34.0586,-117.7613,48,35,62.5
Pompano Beach,Florida,106105,24.00,26.2426,-80.1290,44,34,75.9
Port St. Lucie,Florida,174110,114.00,27.2810,-80.3838,13,-1,73.1
Portland,Oregon,619360,133.40,45.5370,-122.6500,63,51,54.5
Providence,Rhode Island,179154,18.40,41.8231,-71.4188,76,48,50.4
Provo,Utah,114801,41.70,40.2453,-111.6448,46,31,51
Pueblo,Colorado,108423,53.60,38.2731,-104.6124,36,-1,52.7
Raleigh,North Carolina,439896,142.90,35.8302,-78.6414,29,23,59.3
Rancho Cucamonga,California,174305,39.90,34.1233,-117.5642,37,26,63.1
Reno,Nevada,236995,103.00,39.4745,-119.7765,36,28,50.8
Rialto,California,102741,22.40,34.1118,-117.3883,32,-1,61.1
Richardson,Texas,108617,28.60,32.9723,-96.7081,40,31,65.6
